yearID,round,teamIDwinner,teamIDloser,wins,losses,ties
2017,ALDS2,HOU,BOS,3,1,0
2017,ALWC,NYA,MIN,1,0,0
2017,NLCS,LAN,CHN,4,1,0
2017,NLDS1,LAN,ARI,3,0,0
2017,NLDS2,CHN,WAS,3,2,0
2017,NLWC,ARI,COL,1,0,0
2017,WS,HOU,LAN,4,3,0
2018,ALCS,BOS,HOU,4,1,0
2018,ALDS1,BOS,NYA,3,1,0
2018,ALDS2,HOU,CLE,3,0,0
2018,ALWC,NYA,OAK,1,0,0
2018,NLCS,LAN,MIL,4,3,0
2018,NLDS1,MIL,COL,3,0,0
2018,NLDS2,LAN,ATL,3,1,0
2018,NLWC,COL,CHN,1,0,0
2018,WS,BOS,LAN,4,1,0
2019,ALCS,HOU,NYA,4,2,0
2019,ALDS1,HOU,TBA,3,2,0
2019,ALDS2,NYA,MIN,3,0,0
2019,ALWC,TBA,OAK,1,0,0
2019,NLCS,WAS,SLN,4,0,0
2019,NLDS1,WAS,LAN,3,2,0
2019,NLDS2,SLN,ATL,3,2,0
2019,NLWC,WAS,MIL,1,0,0
2019,WS,WAS,HOU,4,3,0
2020,ALCS,TBA,HOU,4,3,0
2020,ALDS1,TBA,NYA,3,2,0
2020,ALDS2,HOU,OAK,3,1,0
2020,ALWC1,TBA,TOR,2,0,0
2020,ALWC2,NYA,CLE,2,0,0
2020,ALWC3,HOU,MIN,2,0,0
2020,ALWC4,OAK,CHA,2,1,0
2020,NLCS,LAN,ATL,4,3,0
2020,NLDS1,LAN,SDN,3,0,0
2020,NLDS2,ATL,MIA,3,0,0
2020,NLWC1,LAN,MIL,2,0,0
2020,NLWC2,SDN,SLN,2,1,0
2020,NLWC3,MIA,CHN,2,0,0
2020,NLWC4,ATL,CIN,2,0,0
2020,WS,LAN,TBA,4,2,0
2021,ALCS,HOU,BOS,4,2,0
2021,ALDS1,HOU,CHA,3,1,0
2021,ALDS2,BOS,TBA,3,1,0
2021,ALWC,BOS,NYA,1,0,0
2021,NLCS,ATL,LAN,4,2,0
2021,NLDS1,ATL,MIL,3,1,0
2021,NLDS2,LAN,SFN,3,2,0
2021,NLWC,LAN,SLN,1,0,0
2021,WS,ATL,HOU,4,2,0
2022,ALCS,HOU,NYA,4,0,0
2022,ALDS1,NYA,CLE,3,2,0
2022,ALDS2,HOU,SEA,3,0,0
2022,ALWC1,CLE,TBA,2,0,0
2022,ALWC2,SEA,TOR,2,0,0
2022,NLCS,PHI,SDN,4,1,0
2022,NLDS1,PHI,ATL,3,1,0
2022,NLDS2,SDN,LAN,3,1,0
2022,NLWC1,SDN,NYN,2,1,0
2022,NLWC2,PHI,SLN,2,0,0
2022,WS,HOU,PHI,4,2,0
2023,ALCS,TEX,HOU,4,3,0
2023,ALDS1,TEX,BAL,3,0,0
2023,ALDS2,HOU,MIN,3,1,0
2023,ALWC1,TEX,TBA,2,0,0
2023,ALWC2,MIN,TOR,2,0,0
2023,NLCS,ARI,PHI,4,3,0
2023,NLDS1,PHI,ATL,3,1,0
2023,NLDS2,ARI,LAN,3,0,0
2023,NLWC1,ARI,MIL,2,0,0
2023,NLWC2,PHI,MIA,2,0,0
2023,WS,TEX,ARI,4,1,0
